timestamp,vehicle_id,packet_size,e2e_delay,service_time
53.2140020652,10.0.0.2,739,0.0000006692,0.112903
53.2470025548,10.0.0.1,943,0.0000008324,0.148484
53.2580031524,10.0.0.3,1192,0.0000010316,0.0803521
53.3340025956,10.0.0.1,960,0.000000846,0.0846692
53.37000237,10.0.0.2,866,0.0000007708,0.0985685
54.1990029484,10.0.0.2,1107,0.0000009636,0.365048
54.2110030828,10.0.0.1,1163,0.0000010084,0.0616967
54.2120022644,10.0.0.2,822,0.0000007356,0.251208
54.2220027276,10.0.0.1,1015,0.00000089,0.0602868
54.2740026724,10.0.0.3,992,0.0000008716,0.134069
54.3440025068,10.0.0.2,923,0.0000008164,0.047671
54.347002478,10.0.0.3,911,0.0000008068,0.0794444
54.5110026124,10.0.0.2,967,0.0000008516,0.177546
54.5900024108,10.0.0.2,883,0.0000007844,0.0550303
54.6280027972,10.0.0.2,1044,0.0000009132,0.171648
55.3440033348,10.0.0.1,1268,0.0000010924,0.366406
55.3580028236,10.0.0.2,1055,0.000000922,0.0983112
55.589002646,10.0.0.2,981,0.0000008628,0.148536
56.1610028356,10.0.0.3,1060,0.000000926,0.0230649
56.2510033756,10.0.0.3,1285,0.000001106,0.1059
56.4000029556,10.0.0.1,1110,0.000000966,0.0498788
56.4510029628,10.0.0.3,1113,0.0000009684,0.322166
56.5260028596,10.0.0.2,1070,0.000000934,0.183003
56.8850030348,10.0.0.2,1143,0.0000009924,0.415025
56.92600255,10.0.0.3,941,0.0000008308,0.190047
57.1720030396,10.0.0.1,1145,0.000000994,0.677094
57.282002238,10.0.0.1,811,0.0000007268,0.0528879
57.4550031068,10.0.0.1,1173,0.0000010164,0.111947
57.4630031092,10.0.0.3,1174,0.0000010172,0.0848219
57.5210027228,10.0.0.3,1013,0.0000008884,0.0112504
57.5400026724,10.0.0.2,992,0.0000008716,0.121341
57.5950026796,10.0.0.3,995,0.000000874,0.240174
57.780002454,10.0.0.3,901,0.0000007988,0.179893
57.7800033348,10.0.0.3,944,0.0000008332,0.00471128
57.8390030756,10.0.0.3,1160,0.000001006,0.0325903
57.8630027084,10.0.0.2,1007,0.0000008836,0.287056
57.9290025524,10.0.0.3,942,0.0000008316,0.181926
58.0750029124,10.0.0.2,1092,0.0000009516,0.324954
58.1940023004,10.0.0.3,837,0.0000007476,0.0207273
58.3350025788,10.0.0.2,953,0.0000008404,0.184355
58.5160027612,10.0.0.2,1029,0.0000009012,0.0815132
58.531002778,10.0.0.2,1036,0.0000009068,0.0626236
58.586002514,10.0.0.3,926,0.0000008188,0.213324
58.9750030324,10.0.0.1,1142,0.0000009916,0.186248
59.0150027876,10.0.0.3,1040,0.00000091,0.0341079
59.1250026292,10.0.0.2,974,0.0000008572,0.01799
59.2400025596,10.0.0.3,945,0.000000834,0.0294726
59.3780025932,10.0.0.1,959,0.0000008452,0.213369
59.5240027828,10.0.0.2,1038,0.0000009084,0.115081
59.9370027396,10.0.0.1,1020,0.000000894,0.00222245
60.0360027636,10.0.0.1,1030,0.000000902,0.190635
60.0580024228,10.0.0.2,888,0.0000007884,0.179344
60.1610026724,10.0.0.1,992,0.0000008716,0.00923649
60.1850029316,10.0.0.3,1100,0.000000958,0.656073
60.3790030228,10.0.0.1,1138,0.0000009884,0.0940311
60.585002526,10.0.0.2,931,0.0000008228,0.0269314
